candidate_id,run_role,geo_id,canonical_metric_key,feature_component,feature_origin,series_variant,series_family,comparison_pair,minimum_calendar_month_mean_absolute_change,maximum_calendar_month_mean_absolute_change,seasonal_spread,minimum_month,maximum_month,baseline_seasonal_spread,seasonal_spread_ratio_challenger_vs_baseline,dimension,axis
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,price_to_income,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.282196445246434,1.1537302822176139,0.8715338369711798,8.0,2.0,0.8715338369711798,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,price_to_income,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.07739647270364636,0.564898662873366,0.48750219016971963,1.0,12.0,0.8715338369711798,0.5593611739320691,,
price_family_ma12_structural_linked,raw_source,20001_district_of_columbia_dc__zip,median_ppsf,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,1.4114928794936077,2.67906835632741,1.2675754768338021,1.0,4.0,1.2675754768338021,1.0,,
price_family_ma12_structural_linked,structural_ma12,20001_district_of_columbia_dc__zip,median_ppsf,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,1.4114928794936077,2.67906835632741,1.2675754768338021,1.0,4.0,1.2675754768338021,1.0,,
price_family_ma12_structural_linked,raw_source,20001_district_of_columbia_dc__zip,median_sale_price,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,1773.9523809524046,4471.153846153859,2697.201465201455,5.0,12.0,2697.201465201455,1.0,,
price_family_ma12_structural_linked,structural_ma12,20001_district_of_columbia_dc__zip,median_sale_price,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,1773.9523809524046,4471.153846153859,2697.201465201455,5.0,12.0,2697.201465201455,1.0,,
price_family_ma12_structural_linked,raw_source,20002_district_of_columbia_dc__zip,median_ppsf,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,1.824007684000002,2.4452526822692255,0.6212449982692236,8.0,1.0,0.6212449982692236,1.0,,
price_family_ma12_structural_linked,structural_ma12,20002_district_of_columbia_dc__zip,median_ppsf,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,1.824007684000002,2.4452526822692255,0.6212449982692236,8.0,1.0,0.6212449982692236,1.0,,
price_family_ma12_structural_linked,raw_source,20002_district_of_columbia_dc__zip,median_sale_price,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,2535.256410256391,3906.089743589736,1370.8333333333449,2.0,12.0,1370.8333333333449,1.0,,
price_family_ma12_structural_linked,structural_ma12,20002_district_of_columbia_dc__zip,median_sale_price,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,2535.256410256391,3906.089743589736,1370.8333333333449,2.0,12.0,1370.8333333333449,1.0,,
