PERIOD_END	PERIOD_BEGIN	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED	_n_region	_n_city	_n_state	_n_county	_state_code
2014-12-31	2014-12-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Multi-Family (2-4 Unit)	4	335945.0						156.690764925						1.0			1.0						2.0			2.0			172.0			0.9881025913			0.0						0.0			Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2022-03-31	2022-03-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Townhouse	13	424500.0	0.132	0.1472972973	499900.0	0.05242105263	0.1108888889	225.979549719	-0.0005974843422	0.1173819581	217.234111543	0.005641860051	0.1262753168	302.0	0.3542600897	-0.04430379747	328.0	0.223880597	-0.1391076115	354.0	0.2597864769	-0.04582210243	186.0	0.1071428571	-0.1184834123	0.6	-0.2	-0.1	6.0	-6.0	0.0	1.043316879	0.0160434016	0.01616627805	0.7814569536	0.08190538414	0.0599379663	0.05913978495	-0.0003840245776	-0.002471589461	0.8445121951	0.01615398617	-0.0111308495	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2017-09-30	2017-09-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	All Residential	-1	330000.0	-0.03579254931	0.0	359990.0	0.0591056193	0.09120945741	161.381051898	-0.01000431388	0.01364863936	167.906928173	0.002369026113	0.03612343201	681.0	-0.1735436893	-0.08344549125	771.0	-0.08865248227	-0.01908396947	762.0	-0.133105802	0.01061007958	1740.0	-0.0407938258	-0.06602254428	2.6	0.4	0.1	30.0	4.0	-2.0	0.9892930413	-0.0016399836	-0.003793778297	0.2129221733	-0.03100986556	-0.01318819012	0.2896551724	-0.03890050565	0.02019730875	0.1802853437	-0.004111819411	0.02761358798	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2016-04-30	2016-04-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Multi-Family (2-4 Unit)	4	370000.0		0.0598682326				172.574626866		0.2259669855				1.0		0.0	1.0		0.0				3.0		0.5	3.0		1.0	15.0		-215.0	0.9610639237		-0.03893607626	0.0		0.0				0.0		0.0	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2020-10-31	2020-10-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Condo/Co-op	3	235000.0	0.004273504274	0.2533333333	396700.0	-0.005764411028	0.05786666667	209.163346614	0.01420982736	0.09581187445	186.406221983	0.01191012859	0.1088265455	47.0	0.04444444444	0.4242424242	59.0	0.09259259259	0.4390243902	51.0	-0.03773584906	0.4571428571	56.0	0.0	0.0	1.2	0.0	-0.5	27.0	11.0	11.0	0.9908942976	-0.006378743064	-0.002449084813	0.3617021277	0.1172576832	0.1192778852	0.1785714286	-0.07142857143	-0.01785714286	0.6610169492	-0.06120527307	0.2707730467	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2012-05-31	2012-05-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	All Residential	-1	270000.0	0.05882352941	0.125	290000.0	0.0003449465333	0.05492906511	133.752132107	0.01382020198	0.05052281898	139.369348932	0.03420747163	0.05843863039	734.0	0.241962775	0.1540880503	847.0	0.03545232274	0.0304136253	823.0	-0.07215332582	-0.002424242424	1667.0	-0.01126927639	-0.1824423737	2.3	-0.6	-0.9	23.0	-7.0	-12.0	0.9938089765	0.004628068626	0.003893061514	0.2765667575	-0.004313107143	0.004554178877	0.24895021	0.04135827639	-0.00558632756	0.2101534829	-0.02945531908	0.03010482108	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2015-11-30	2015-11-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Condo/Co-op	3	173250.0	0.01315789474	0.1039250669	305000.0	-0.05861292015	-0.01517597675	143.465577596	0.01097088306	-0.04284905693	159.743589744	0.009581730694	-0.001814435681	18.0	-0.5714285714	-0.2173913043	33.0	-0.175	0.06451612903	33.0	-0.1951219512	0.2222222222	94.0	-0.1132075472	-0.09615384615	5.2	2.7	0.7	95.0	46.0	52.0	0.9716181661	-0.008392997791	-0.006057773833	0.1111111111	-0.05555555556	-0.1497584541	0.1489361702	-0.04917703733	-0.08183306056	0.1515151515	-0.04848484848	0.08699902248	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2016-06-30	2016-06-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	423000.0	0.01927710843	0.01927710843	339786.0	-0.0003353927626	0.04549538462	158.155487805	0.02033047979	0.05671329064	160.159554068	0.01509576522	0.01959017117	549.0	0.1024096386	0.07647058824	636.0	-0.001569858713	0.09466437177	569.0	-0.07328990228	-0.01557093426	1255.0	-0.003968253968	-0.2300613497	2.3	-0.2	-0.9	24.0	2.0	-4.0	0.9901455138	-0.0003519670248	0.0006653867914	0.2495446266	0.03468518884	0.04562305797	0.3458167331	0.06248339973	-0.01062498472	0.1603773585	-0.02172625218	0.0330107492	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2016-01-31	2016-01-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	405000.0	0.05194805195	0.1005434783	329900.0	0.0309697178	0.005792682927	150.631681244	-0.02532441548	0.01277653919	157.355182927	0.004205960618	0.00806763141	229.0	-0.3827493261	-0.004347826087	294.0	-0.234375	-0.119760479	283.0	0.2922374429	-0.2371967655	909.0	-0.08181818182	-0.1096963761	4.0	1.3	-0.4	91.0	26.0	6.0	0.9823209307	-0.0008183350213	0.002191921856	0.1484716157	-0.02133970503	-0.02978925384	0.1782178218	0.01559155916	-0.0304011792	0.1496598639	0.08715986395	-0.003034746833	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2014-01-31	2014-01-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	All Residential	-1	294999.0	-0.0100704698	0.1346115385	299900.0	0.0	0.03449465333	148.107515085	0.007196492683	0.07933351618	157.003610108	0.005829709013	0.07181131167	374.0	-0.3099630996	-0.1342592593	564.0	-0.1090047393	-0.1214953271	600.0	0.4742014742	-0.04610492846	1335.0	-0.008908685969	0.2361111111	3.6	1.1	1.1	47.0	10.0	5.0	0.9869539226	-0.001194381581	0.00143845618	0.1844919786	-0.00923495866	-0.02615616954	0.202247191	0.00254414721	0.01058052434	0.1737588652	0.07581257773	-0.02561808179	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
