source_id,geo_id,provider_geo_fips,geo_class,availability
bea_gdp_ann,franklin_city_county_va__county,51620,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,fredericksburg_va__county,51630,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,hampton_va__county,51650,county,AVAILABLE_DIRECT
bea_gdp_ann,harrisonburg_va__county,51660,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,hopewell_va__county,51670,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,lynchburg_va__county,51680,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,manassas_va__county,51683,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,manassas_park_va__county,51685,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,martinsville_va__county,51690,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,newport_news_va__county,51700,county,AVAILABLE_DIRECT
bea_gdp_ann,norfolk_va__county,51710,county,AVAILABLE_DIRECT
bea_gdp_ann,norton_va__county,51720,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,petersburg_va__county,51730,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,poquoson_va__county,51735,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,portsmouth_va__county,51740,county,AVAILABLE_DIRECT
bea_gdp_ann,radford_va__county,51750,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,richmond_city_county_va__county,51760,county,AVAILABLE_DIRECT
bea_gdp_ann,roanoke_city_county_va__county,51770,county,AVAILABLE_DIRECT
bea_gdp_ann,salem_va__county,51775,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,staunton_va__county,51790,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,suffolk_va__county,51800,county,AVAILABLE_DIRECT
bea_gdp_ann,virginia_beach_va__county,51810,county,AVAILABLE_DIRECT
bea_gdp_ann,waynesboro_va__county,51820,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,williamsburg_va__county,51830,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,winchester_va__county,51840,county,PROVIDER_UNAVAILABLE
bea_gdp_qtr,united_states__nation,00000,nation,AVAILABLE_DIRECT
bea_gdp_qtr,california__state,06000,state,AVAILABLE_DIRECT
bea_gdp_qtr,district_of_columbia__state,11000,state,AVAILABLE_DIRECT
bea_gdp_qtr,maryland__state,24000,state,AVAILABLE_DIRECT
bea_gdp_qtr,new_jersey__state,34000,state,AVAILABLE_DIRECT
bea_gdp_qtr,virginia__state,51000,state,AVAILABLE_DIRECT
