geo_name,geo_level,redfin_code,state_code,include,notes
"Chesapeake, VA",county,3037,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3037
"Chesterfield County, VA",county,2957,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2957
"Clarke County, VA",county,2958,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2958
"Colonial Heights, VA",county,3038,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3038
"Contra Costa County, CA",county,309,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=309
"Craig County, VA",county,2959,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2959
"Culpeper County, VA",county,2960,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2960
"Cumberland County, NJ",county,1896,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1896
"Danville, VA",county,3040,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3040
"Del Norte County, CA",county,310,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=310
"Dinwiddie County, VA",county,2963,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2963
"District of Columbia, DC",county,436,DC,1,Generated from Redfin macro hierarchy; state_code=DC; redfin_table_id=436
"Dorchester County, MD",county,1318,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1318
"El Dorado County, CA",county,311,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=311
"Essex County, NJ",county,1897,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1897
"Fairfax City County, VA",county,3042,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3042
"Fairfax County, VA",county,2965,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2965
"Falls Church, VA",county,3043,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3043
"Fauquier County, VA",county,2966,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2966
"Fluvanna County, VA",county,2968,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2968
"Franklin City County, VA",county,3044,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3044
"Franklin County, VA",county,2969,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2969
"Frederick County, MD",county,1319,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1319
"Frederick County, VA",county,2970,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2970
"Fredericksburg, VA",county,3045,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3045
"Fresno County, CA",county,312,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=312
"Giles County, VA",county,2971,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2971
"Gloucester County, NJ",county,1898,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1898
"Gloucester County, VA",county,2972,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2972
"Goochland County, VA",county,2973,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2973
"Greene County, VA",county,2975,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2975
"Hampton, VA",county,3047,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3047
"Hanover County, VA",county,2978,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2978
"Harford County, MD",county,1321,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1321
"Harrisonburg, VA",county,3048,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3048
"Henrico County, VA",county,2979,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2979
"Henry County, VA",county,2980,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2980
"Hopewell, VA",county,3049,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3049
"Howard County, MD",county,1322,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1322
"Humboldt County, CA",county,314,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=314
"Hunterdon County, NJ",county,1900,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1900
"Imperial County, CA",county,315,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=315
"Isle of Wight County, VA",county,2982,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2982
"James City County, VA",county,2983,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2983
"Kern County, CA",county,317,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=317
