geo_name,geo_level,redfin_code,state_code,include,notes
"20747, Prince George's County, MD",zip,8214,MD,1,"Generated from Redfin local context hierarchy; zip5=20747; state_code=MD; county=Prince George's County, MD; redfin_table_id=8214; parent_county_table_id=1325"
"20748, Prince George's County, MD",zip,8215,MD,1,"Generated from Redfin local context hierarchy; zip5=20748; state_code=MD; county=Prince George's County, MD; redfin_table_id=8215; parent_county_table_id=1325"
"20752, Prince George's County, MD",zip,8219,MD,1,"Generated from Redfin local context hierarchy; zip5=20752; state_code=MD; county=Prince George's County, MD; redfin_table_id=8219; parent_county_table_id=1325"
"20757, Prince George's County, MD",zip,8223,MD,1,"Generated from Redfin local context hierarchy; zip5=20757; state_code=MD; county=Prince George's County, MD; redfin_table_id=8223; parent_county_table_id=1325"
"20768, Prince George's County, MD",zip,8230,MD,1,"Generated from Redfin local context hierarchy; zip5=20768; state_code=MD; county=Prince George's County, MD; redfin_table_id=8230; parent_county_table_id=1325"
"20769, Prince George's County, MD",zip,8231,MD,1,"Generated from Redfin local context hierarchy; zip5=20769; state_code=MD; county=Prince George's County, MD; redfin_table_id=8231; parent_county_table_id=1325"
"20770, Prince George's County, MD",zip,8232,MD,1,"Generated from Redfin local context hierarchy; zip5=20770; state_code=MD; county=Prince George's County, MD; redfin_table_id=8232; parent_county_table_id=1325"
"20771, Prince George's County, MD",zip,8233,MD,1,"Generated from Redfin local context hierarchy; zip5=20771; state_code=MD; county=Prince George's County, MD; redfin_table_id=8233; parent_county_table_id=1325"
"20772, Prince George's County, MD",zip,8234,MD,1,"Generated from Redfin local context hierarchy; zip5=20772; state_code=MD; county=Prince George's County, MD; redfin_table_id=8234; parent_county_table_id=1325"
"20774, Prince George's County, MD",zip,8236,MD,1,"Generated from Redfin local context hierarchy; zip5=20774; state_code=MD; county=Prince George's County, MD; redfin_table_id=8236; parent_county_table_id=1325"
"20781, Prince George's County, MD",zip,8242,MD,1,"Generated from Redfin local context hierarchy; zip5=20781; state_code=MD; county=Prince George's County, MD; redfin_table_id=8242; parent_county_table_id=1325"
"20782, Prince George's County, MD",zip,8243,MD,1,"Generated from Redfin local context hierarchy; zip5=20782; state_code=MD; county=Prince George's County, MD; redfin_table_id=8243; parent_county_table_id=1325"
"20783, Prince George's County, MD",zip,8244,MD,1,"Generated from Redfin local context hierarchy; zip5=20783; state_code=MD; county=Prince George's County, MD; redfin_table_id=8244; parent_county_table_id=1325"
"20784, Prince George's County, MD",zip,8245,MD,1,"Generated from Redfin local context hierarchy; zip5=20784; state_code=MD; county=Prince George's County, MD; redfin_table_id=8245; parent_county_table_id=1325"
"20785, Prince George's County, MD",zip,8246,MD,1,"Generated from Redfin local context hierarchy; zip5=20785; state_code=MD; county=Prince George's County, MD; redfin_table_id=8246; parent_county_table_id=1325"
