geo_id,level,provider_location_type,provider_identifier,metric_id,provider_measure,unit,scale_transform,seasonal_adjustment,classification
monmouth_county_nj__county,county,County,34025,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
morris_county_nj__county,county,County,34027,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
ocean_county_nj__county,county,County,34029,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
somerset_county_nj__county,county,County,34035,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
sussex_county_nj__county,county,County,34037,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
union_county_nj__county,county,County,34039,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
albemarle_county_va__county,county,County,51003,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
amelia_county_va__county,county,County,51007,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
amherst_county_va__county,county,County,51009,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
appomattox_county_va__county,county,County,51011,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
arlington_county_va__county,county,County,51013,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
augusta_county_va__county,county,County,51015,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
bedford_county_va__county,county,County,51019,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
botetourt_county_va__county,county,County,51023,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
campbell_county_va__county,county,County,51031,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
charles_city_county_va__county,county,County,51036,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
chesterfield_county_va__county,county,County,51041,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
clarke_county_va__county,county,County,51043,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
craig_county_va__county,county,County,51045,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
culpeper_county_va__county,county,County,51047,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
dinwiddie_county_va__county,county,County,51053,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
fairfax_county_va__county,county,County,51059,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
fauquier_county_va__county,county,County,51061,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
fluvanna_county_va__county,county,County,51065,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
franklin_county_va__county,county,County,51067,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
frederick_county_va__county,county,County,51069,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
giles_county_va__county,county,County,51071,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
gloucester_county_va__county,county,County,51073,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
goochland_county_va__county,county,County,51075,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
greene_county_va__county,county,County,51079,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
hanover_county_va__county,county,County,51085,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
henrico_county_va__county,county,County,51087,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
henry_county_va__county,county,County,51089,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
isle_of_wight_county_va__county,county,County,51093,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
james_city_county_va__county,county,County,51095,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
king_and_queen_county_va__county,county,County,51097,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
king_william_county_va__county,county,County,51101,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
loudoun_county_va__county,county,County,51107,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
madison_county_va__county,county,County,51113,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
mathews_county_va__county,county,County,51115,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
montgomery_county_va__county,county,County,51121,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
nelson_county_va__county,county,County,51125,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
new_kent_county_va__county,county,County,51127,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
pittsylvania_county_va__county,county,County,51143,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
powhatan_county_va__county,county,County,51145,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
prince_george_county_va__county,county,County,51149,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
prince_william_county_va__county,county,County,51153,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
pulaski_county_va__county,county,County,51155,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
rappahannock_county_va__county,county,County,51157,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
roanoke_county_va__county,county,County,51161,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
rockingham_county_va__county,county,County,51165,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
southampton_county_va__county,county,County,51175,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
spotsylvania_county_va__county,county,County,51177,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
stafford_county_va__county,county,County,51179,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
sussex_county_va__county,county,County,51183,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
warren_county_va__county,county,County,51187,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
wise_county_va__county,county,County,51195,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
york_county_va__county,county,County,51199,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
alexandria_va__county,county,County,51510,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
charlottesville_va__county,county,County,51540,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
chesapeake_va__county,county,County,51550,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
colonial_heights_va__county,county,County,51570,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
danville_va__county,county,County,51590,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
fairfax_city_county_va__county,county,County,51600,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
falls_church_va__county,county,County,51610,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
fredericksburg_va__county,county,County,51630,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
hampton_va__county,county,County,51650,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
harrisonburg_va__county,county,County,51660,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
hopewell_va__county,county,County,51670,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
lynchburg_va__county,county,County,51680,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
manassas_va__county,county,County,51683,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
manassas_park_va__county,county,County,51685,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
martinsville_va__county,county,County,51690,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
newport_news_va__county,county,County,51700,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
norfolk_va__county,county,County,51710,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
norton_va__county,county,County,51720,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
petersburg_va__county,county,County,51730,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
poquoson_va__county,county,County,51735,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
portsmouth_va__county,county,County,51740,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
radford_va__county,county,County,51750,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
richmond_city_county_va__county,county,County,51760,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
roanoke_city_county_va__county,county,County,51770,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
salem_va__county,county,County,51775,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
staunton_va__county,county,County,51790,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
suffolk_va__county,county,County,51800,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
virginia_beach_va__county,county,County,51810,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
waynesboro_va__county,county,County,51820,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
williamsburg_va__county,county,County,51830,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
winchester_va__county,county,County,51840,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
united_states__nation,nation,Country,00,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
california__state,state,State,06,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
district_of_columbia__state,state,State,11,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
maryland__state,state,State,24,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
new_jersey__state,state,State,34,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
virginia__state,state,State,51,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
atlantic_city_nj_metro_area__cbsa_metro,cbsa_metro,Metro,12100,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
bakersfield_ca_metro_area__cbsa_metro,cbsa_metro,Metro,12540,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
baltimore_md_metro_area__cbsa_metro,cbsa_metro,Metro,12580,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
blacksburg_va_metro_area__cbsa_metro,cbsa_metro,Metro,13980,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
california_md_metro_area__cbsa_metro,cbsa_metro,Metro,15680,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
cambridge_md_metro_area__cbsa_metro,cbsa_metro,Metro,15700,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
charlottesville_va_metro_area__cbsa_metro,cbsa_metro,Metro,16820,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
chico_ca_metro_area__cbsa_metro,cbsa_metro,Metro,17020,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
clearlake_ca_metro_area__cbsa_metro,cbsa_metro,Metro,17340,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
crescent_city_ca_metro_area__cbsa_metro,cbsa_metro,Metro,18860,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
cumberland_md_metro_area__cbsa_metro,cbsa_metro,Metro,19060,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
danville_va_metro_area__cbsa_metro,cbsa_metro,Metro,19260,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
easton_md_metro_area__cbsa_metro,cbsa_metro,Metro,20660,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
el_centro_ca_metro_area__cbsa_metro,cbsa_metro,Metro,20940,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
eureka_ca_metro_area__cbsa_metro,cbsa_metro,Metro,21700,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
fresno_ca_metro_area__cbsa_metro,cbsa_metro,Metro,23420,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
hagerstown_md_metro_area__cbsa_metro,cbsa_metro,Metro,25180,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
hanford_ca_metro_area__cbsa_metro,cbsa_metro,Metro,25260,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
harrisonburg_va_metro_area__cbsa_metro,cbsa_metro,Metro,25500,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
lynchburg_va_metro_area__cbsa_metro,cbsa_metro,Metro,31340,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
madera_ca_metro_area__cbsa_metro,cbsa_metro,Metro,31460,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
martinsville_va_metro_area__cbsa_metro,cbsa_metro,Metro,32300,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
merced_ca_metro_area__cbsa_metro,cbsa_metro,Metro,32900,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
modesto_ca_metro_area__cbsa_metro,cbsa_metro,Metro,33700,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
napa_ca_metro_area__cbsa_metro,cbsa_metro,Metro,34900,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
ocean_city_nj_metro_area__cbsa_metro,cbsa_metro,Metro,36140,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
oxnard_ca_metro_area__cbsa_metro,cbsa_metro,Metro,37100,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
red_bluff_ca_metro_area__cbsa_metro,cbsa_metro,Metro,39780,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
redding_ca_metro_area__cbsa_metro,cbsa_metro,Metro,39820,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
richmond_va_metro_area__cbsa_metro,cbsa_metro,Metro,40060,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
riverside_ca_metro_area__cbsa_metro,cbsa_metro,Metro,40140,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
roanoke_va_metro_area__cbsa_metro,cbsa_metro,Metro,40220,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
sacramento_ca_metro_area__cbsa_metro,cbsa_metro,Metro,40900,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
salinas_ca_metro_area__cbsa_metro,cbsa_metro,Metro,41500,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_diego_ca_metro_area__cbsa_metro,cbsa_metro,Metro,41740,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_jose_ca_metro_area__cbsa_metro,cbsa_metro,Metro,41940,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_luis_obispo_ca_metro_area__cbsa_metro,cbsa_metro,Metro,42020,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
santa_cruz_ca_metro_area__cbsa_metro,cbsa_metro,Metro,42100,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
santa_maria_ca_metro_area__cbsa_metro,cbsa_metro,Metro,42200,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
santa_rosa_ca_metro_area__cbsa_metro,cbsa_metro,Metro,42220,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
sonora_ca_metro_area__cbsa_metro,cbsa_metro,Metro,43760,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
staunton_va_metro_area__cbsa_metro,cbsa_metro,Metro,44420,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
stockton_ca_metro_area__cbsa_metro,cbsa_metro,Metro,44700,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
susanville_ca_metro_area__cbsa_metro,cbsa_metro,Metro,45000,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
trenton_nj_metro_area__cbsa_metro,cbsa_metro,Metro,45940,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
truckee_ca_metro_area__cbsa_metro,cbsa_metro,Metro,46020,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
ukiah_ca_metro_area__cbsa_metro,cbsa_metro,Metro,46380,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
vallejo_ca_metro_area__cbsa_metro,cbsa_metro,Metro,46700,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
vineland_nj_metro_area__cbsa_metro,cbsa_metro,Metro,47220,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
virginia_beach_va_metro_area__cbsa_metro,cbsa_metro,Metro,47260,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
visalia_ca_metro_area__cbsa_metro,cbsa_metro,Metro,47300,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
winchester_va_metro_area__cbsa_metro,cbsa_metro,Metro,49020,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
yuba_city_ca_metro_area__cbsa_metro,cbsa_metro,Metro,49700,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
