candidate_id,geo_id,series_type,series_key,comparison,direction,baseline_turn_date,challenger_turn_date,baseline_turn_value_raw,baseline_turn_value_review,challenger_turn_value_raw,challenger_turn_value_review,signed_lag_months,absolute_lag_months,matched,baseline_meaningful_turn_count,challenger_meaningful_turn_count,matched_turn_count,baseline_unmatched_turn_count,challenger_unmatched_turn_count,matched_turn_share,median_absolute_lag_months_by_series,p90_absolute_lag_months_by_series,maximum_absolute_lag_months_by_series,review_smoother,turn_prominence_minimum,turn_minimum_separation_months,turn_prominence_window_months,turn_prominence_min_side_observations,turn_prominence_min_side_coverage_months,turn_max_match_window_months,source,flag_type,severity,detail
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,peak,2015-05-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,peak,2017-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,peak,2018-05-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,peak,2021-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,peak,2022-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,peak,2024-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,peak,2025-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,trough,2019-07-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,trough,,2024-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,trough,,2025-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,gfc_housing_correction has 0 overlapping observations
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,pre_gfc_early_history has 0 overlapping observations
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,peak,2015-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,peak,2020-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,peak,,2023-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,peak,,2025-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,trough,2016-08-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,trough,2022-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,trough,2025-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,,trough,2025-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
