date,demand_axis,price_score,affordability_score,candidate_id,candidate_label,geo_id,weighted_price_contribution,weighted_affordability_contribution,price_affordability_net,price_affordability_gross,cancellation_amount,cancellation_rate,material_cancellation
2021-11-30,0.1024173348113744,0.7438114478114478,-0.8886375661375662,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.11157171717171717,-0.08886375661375662,0.022707960557960552,0.20043547378547377,0.17772751322751323,0.8867068781334342,True
2021-12-31,0.1923074061529249,0.5837431192660552,-0.5909796937375194,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.08756146788990828,-0.05909796937375194,0.028463498516156337,0.1466594372636602,0.11819593874750386,0.8059211255189431,True
2022-01-31,0.0703195755799064,0.349023633336785,-0.5903264959339726,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.05235354500051775,-0.05903264959339726,-0.0066791045928795145,0.11138619459391501,0.1047070900010355,0.9400365133468309,True
2022-04-30,0.0228973146861262,0.4527733151803947,-0.792073034737102,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.0679159972770592,-0.0792073034737102,-0.011291306196651002,0.1471233007507694,0.1358319945541184,0.9232527673112857,True
2022-05-31,0.1749772868669076,0.5611127819548872,-0.8195442501324854,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.08416691729323308,-0.08195442501324855,0.002212492279984532,0.16612134230648162,0.16390885002649708,0.9866814688030713,True
2022-06-30,0.0096541901395345,0.6021033634126334,-0.8406927877947296,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.090315504511895,-0.08406927877947296,0.006246225732422048,0.17438478329136797,0.1681385575589459,0.9641813602395247,True
2022-07-31,0.0744157487637645,0.4380883016435707,-0.7974625595643294,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.0657132452465356,-0.07974625595643295,-0.014033010709897348,0.14545950120296855,0.1314264904930712,0.9035263383014339,True
2015-11-30,0.2252898659945197,0.4748148148148147,-0.611111111111111,price_family_ma9_structural_linked,MA9,district_of_columbia_dc__county,0.0712222222222222,-0.06111111111111111,0.010111111111111092,0.1323333333333333,0.1222222222222222,0.9235936188077247,True
2016-03-31,0.2629231653580046,-0.3674418604651163,0.6496138996138996,price_family_ma9_structural_linked,MA9,district_of_columbia_dc__county,-0.05511627906976744,0.06496138996138996,0.009845110891622523,0.12007766903115741,0.11023255813953489,0.9180104762937401,True
2016-04-30,0.2806398436815067,-0.2919438285291943,0.6357968090959105,price_family_ma9_structural_linked,MA9,district_of_columbia_dc__county,-0.043791574279379145,0.06357968090959105,0.01978810663021191,0.1073712551889702,0.08758314855875829,0.815703871623877,True
