date,metric,stage,standardized_value,county_count
2007-09-30,laus_unemployment_rate,MA6,-0.8263238137009697,7
2007-09-30,laus_unemployment_rate,MA9,-0.838293152063356,7
2007-09-30,laus_unemployment_rate,Raw,-0.7719019452626324,7
2007-10-31,employment,MA3,-1.062635192127121,7
2007-10-31,employment,MA6,-1.065526852165721,7
2007-10-31,employment,MA9,-1.1358866993112706,7
2007-10-31,employment,Raw,-0.9891170680693825,7
2007-10-31,labor_force,MA3,-1.6634777682405038,7
2007-10-31,labor_force,MA6,-1.6960379967315404,7
2007-10-31,labor_force,MA9,-1.8249031512718916,7
2007-10-31,labor_force,Raw,-1.576500370285946,7
2007-10-31,laus_unemployment_rate,MA3,-0.799351689390544,7
2007-10-31,laus_unemployment_rate,MA6,-0.8035423700532089,7
2007-10-31,laus_unemployment_rate,MA9,-0.8643517596352898,7
2007-10-31,laus_unemployment_rate,Raw,-0.8262777585430235,7
2007-11-30,employment,MA3,-1.0122173135429302,7
2007-11-30,employment,MA6,-1.0209065321192414,7
2007-11-30,employment,MA9,-1.094717733316576,7
2007-11-30,employment,Raw,-0.9163996897661508,7
2007-11-30,labor_force,MA3,-1.606422501373307,7
2007-11-30,labor_force,MA6,-1.6208310133372237,7
2007-11-30,labor_force,MA9,-1.7704540468132772,7
2007-11-30,labor_force,Raw,-1.4701893929731225,7
2007-11-30,laus_unemployment_rate,MA3,-0.8447515023960402,7
2007-11-30,laus_unemployment_rate,MA6,-0.7947036390733141,7
2007-11-30,laus_unemployment_rate,MA9,-0.8812670005795535,7
2007-11-30,laus_unemployment_rate,Raw,-0.8671335157552911,7
2007-12-31,employment,MA3,-0.9633277599115576,7
2007-12-31,employment,MA6,-1.0038650053692766,7
2007-12-31,employment,MA9,-1.070492770926011,7
2007-12-31,employment,Raw,-0.9597665231463205,7
2007-12-31,labor_force,MA3,-1.546667035333368,7
2007-12-31,labor_force,MA6,-1.599183343462745,7
2007-12-31,labor_force,MA9,-1.731318225984484,7
2007-12-31,labor_force,Raw,-1.514623539651834,7
2007-12-31,laus_unemployment_rate,MA3,-0.8650597047468195,7
2007-12-31,laus_unemployment_rate,MA6,-0.8258669761359635,7
2007-12-31,laus_unemployment_rate,MA9,-0.8818861481666741,7
2007-12-31,laus_unemployment_rate,Raw,-0.8323789420761719,7
2008-01-31,employment,MA3,-0.9938196892400838,7
2008-01-31,employment,MA6,-1.0361227215012918,7
2008-01-31,employment,MA9,-1.056593300246023,7
2008-01-31,employment,Raw,-1.0788940536567415,7
2008-01-31,labor_force,MA3,-1.5482120911762591,7
2008-01-31,labor_force,MA6,-1.634815944159416,7
2008-01-31,labor_force,MA9,-1.6907815180903145,7
2008-01-31,labor_force,Raw,-1.5799472480291723,7
2008-01-31,laus_unemployment_rate,MA3,-0.7778562152906693,7
2008-01-31,laus_unemployment_rate,MA6,-0.8169651016335272,7
2008-01-31,laus_unemployment_rate,MA9,-0.835562504720735,7
2008-01-31,laus_unemployment_rate,Raw,-0.5705527532186739,7
2008-02-29,employment,MA3,-1.032142211259999,7
2008-02-29,employment,MA6,-1.0300365886229192,7
2008-02-29,employment,MA9,-1.0396092792244658,7
2008-02-29,employment,Raw,-1.0295537684163028,7
2008-02-29,labor_force,MA3,-1.5705899249473017,7
2008-02-29,labor_force,MA6,-1.6169331126370972,7
2008-02-29,labor_force,MA9,-1.647275027711826,7
2008-02-29,labor_force,Raw,-1.5344821067645877,7
2008-02-29,laus_unemployment_rate,MA3,-0.7094250526042817,7
2008-02-29,laus_unemployment_rate,MA6,-0.8050334130050764,7
2008-02-29,laus_unemployment_rate,MA9,-0.8054963869104943,7
2008-02-29,laus_unemployment_rate,Raw,-0.6659974614443777,7
2008-03-31,employment,MA3,-1.0291481770632918,7
2008-03-31,employment,MA6,-1.0037907345996897,7
2008-03-31,employment,MA9,-1.0271646077014647,7
2008-03-31,employment,Raw,-0.9505047308323099,7
2008-03-31,labor_force,MA3,-1.536663899959246,7
2008-03-31,labor_force,MA6,-1.5690081843107866,7
2008-03-31,labor_force,MA9,-1.6206853275970314,7
2008-03-31,labor_force,Raw,-1.4138020703003236,7
2008-03-31,laus_unemployment_rate,MA3,-0.6367407717906124,7
2008-03-31,laus_unemployment_rate,MA6,-0.777952748168473,7
2008-03-31,laus_unemployment_rate,MA9,-0.8011708660860022,7
2008-03-31,laus_unemployment_rate,Raw,-0.618649774936477,7
2008-04-30,employment,MA3,-0.9614540688801136,7
2008-04-30,employment,MA6,-0.9849488828499867,7
2008-04-30,employment,MA9,-1.0257134721308427,7
2008-04-30,employment,Raw,-0.8788696194934023,7
2008-04-30,labor_force,MA3,-1.4728189097296522,7
2008-04-30,labor_force,MA6,-1.537032909779708,7
2008-04-30,labor_force,MA9,-1.6224244419660478,7
2008-04-30,labor_force,Raw,-1.3939325086443133,7
2008-04-30,laus_unemployment_rate,MA3,-0.7072907292965104,7
2008-04-30,laus_unemployment_rate,MA6,-0.7691619340607583,7
2008-04-30,laus_unemployment_rate,MA9,-0.8195209265568675,7
2008-04-30,laus_unemployment_rate,Raw,-0.777939394502574,7
2008-05-31,employment,MA3,-0.9254095049634193,7
2008-05-31,employment,MA6,-0.9861707581392334,7
2008-05-31,employment,MA9,-1.0092287502235078,7
2008-05-31,employment,Raw,-0.9231457312711734,7
2008-05-31,labor_force,MA3,-1.4011842479480776,7
2008-05-31,labor_force,MA6,-1.5121885303796063,7
2008-05-31,labor_force,MA9,-1.5853621390907107,7
2008-05-31,labor_force,Raw,-1.3233672950740285,7
2008-05-31,laus_unemployment_rate,MA3,-0.6420677587394422,7
2008-05-31,laus_unemployment_rate,MA6,-0.70059852021666,7
2008-05-31,laus_unemployment_rate,MA9,-0.788342106354027,7
2008-05-31,laus_unemployment_rate,Raw,-0.47427607937820565,7
2008-06-30,employment,MA3,-0.8930214808071312,7
2008-06-30,employment,MA6,-0.9683235782295814,7
2008-06-30,employment,MA9,-0.9803533084536566,7
2008-06-30,employment,Raw,-0.8548850868699558,7
2008-06-30,labor_force,MA3,-1.301690359497248,7
2008-06-30,labor_force,MA6,-1.4442809833496926,7
2008-06-30,labor_force,MA9,-1.5181604299838027,7
2008-06-30,labor_force,Raw,-1.1210655288947946,7
2008-06-30,laus_unemployment_rate,MA3,-0.5034139559972963,7
2008-06-30,laus_unemployment_rate,MA6,-0.5924781147853698,7
2008-06-30,laus_unemployment_rate,MA9,-0.7213260500915265,7
2008-06-30,laus_unemployment_rate,Raw,-0.2101949592292248,7
2008-07-31,employment,MA3,-0.8227185815449477,7
2008-07-31,employment,MA6,-0.8983196060867894,7
2008-07-31,employment,MA9,-0.9435029644492425,7
2008-07-31,employment,Raw,-0.6707820029519093,7
2008-07-31,labor_force,MA3,-1.0973004720547592,7
2008-07-31,labor_force,MA6,-1.3067841301786445,7
2008-07-31,labor_force,MA9,-1.4250229862636525,7
2008-07-31,labor_force,Raw,-0.7945272299446648,7
2008-07-31,laus_unemployment_rate,MA3,-0.2603177360238632,7
2008-07-31,laus_unemployment_rate,MA6,-0.5042816500362364,7
2008-07-31,laus_unemployment_rate,MA9,-0.6303699732796106,7
2008-07-31,laus_unemployment_rate,Raw,-0.062053888674395354,7
2008-08-31,employment,MA3,-0.8073871943045857,7
2008-08-31,employment,MA6,-0.8723684785779418,7
2008-08-31,employment,MA9,-0.939161587144533,7
2008-08-31,employment,Raw,-0.8774445134469389,7
2008-08-31,labor_force,MA3,-0.9980761039203708,7
2008-08-31,labor_force,MA6,-1.2194140251152157,7
2008-08-31,labor_force,MA9,-1.373455137804643,7
2008-08-31,labor_force,Raw,-1.0329758460375884,7
2008-08-31,laus_unemployment_rate,MA3,-0.10292270944749309,7
