candidate_id,geo_id,series_type,series_key,period,baseline_row_count,challenger_row_count,overlap_row_count,available,first_date,last_date,baseline_mean,challenger_mean,mean_absolute_difference
price_family_ma9_structural_linked,district_of_columbia_dc__county,axis_score,demand,recovery_expansion,84,84,84,True,2013-01-31,2019-12-31,0.2169335393436206,0.22107024314254312,0.03255042783615779
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,gfc_housing_correction,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,mortgage_rate_affordability_shock,36,36,36,True,2022-01-31,2024-12-31,-0.05793810711029642,-0.08162610203393694,0.22842358839923874
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,most_recent_available_period,12,12,12,True,2025-08-31,2026-07-31,-0.09565277777777781,-0.028055555555555545,0.263375
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,0.08253092230412518,0.08985882897580051,0.2803196187855493
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,pre_gfc_early_history,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,recovery_expansion,50,50,50,True,2015-11-30,2019-12-31,0.08067766165568592,0.10475180981023981,0.3337298267195935
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,gfc_housing_correction,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,mortgage_rate_affordability_shock,36,36,36,True,2022-01-31,2024-12-31,-0.09100531375674309,-0.2248681594846852,0.37264474160694405
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,most_recent_available_period,12,12,12,True,2025-08-31,2026-07-31,0.06244444444444445,-0.10786111111111109,0.39402777777777787
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,0.2843146760266697,0.4443833967801396,0.3094291374882299
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,pre_gfc_early_history,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,recovery_expansion,61,53,53,True,2015-08-31,2019-12-31,0.00617681096197903,0.012331615604877598,0.36051873267046236
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,gfc_housing_correction,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,mortgage_rate_affordability_shock,36,36,36,True,2022-01-31,2024-12-31,-0.13316583493143455,-0.22666634136014346,0.3963755336094039
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,most_recent_available_period,12,12,12,True,2025-06-30,2026-05-31,-0.24427777777777784,-0.4008333333333333,0.43211111111111117
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,0.2986117561682496,0.40575796204503095,0.3910603067296472
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,pre_gfc_early_history,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_ppsf,recovery_expansion,61,53,53,True,2015-08-31,2019-12-31,-0.016809350391718218,0.014601090737129776,0.37375755464451027
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_sale_price,gfc_housing_correction,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_sale_price,mortgage_rate_affordability_shock,36,36,36,True,2022-01-31,2024-12-31,-0.04884479258205166,-0.22306997760922695,0.4283406987002421
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_sale_price,most_recent_available_period,12,12,12,True,2025-06-30,2026-05-31,0.1503888888888889,0.2559444444444445,0.3993333333333334
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_sale_price,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,0.27001759588508983,0.4830088315152483,0.35460568724068775
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_sale_price,pre_gfc_early_history,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,median_sale_price,recovery_expansion,61,53,53,True,2015-08-31,2019-12-31,0.02916297231567626,0.010062140472625394,0.46515736923504175
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,payment_burden,gfc_housing_correction,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,payment_burden,mortgage_rate_affordability_shock,36,36,36,True,2022-01-31,2024-12-31,-0.4612653663427587,-0.4929401878548086,0.19329070382144742
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,payment_burden,most_recent_available_period,12,12,12,True,2025-06-30,2026-05-31,-0.20972222222222225,-0.21236111111111114,0.21097222222222223
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,payment_burden,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,0.34427672837032103,0.34867817947042573,0.2236054941538934
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,payment_burden,pre_gfc_early_history,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,payment_burden,recovery_expansion,50,50,50,True,2015-11-30,2019-12-31,0.05608451749734561,0.09783460449629194,0.2926966715638759
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,price_to_income,gfc_housing_correction,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,price_to_income,mortgage_rate_affordability_shock,36,36,36,True,2022-01-31,2024-12-31,0.34538915212216587,0.3296879837869347,0.2749039747518758
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,price_to_income,most_recent_available_period,12,12,12,True,2025-06-30,2026-05-31,0.2111944444444445,0.11597222222222221,0.274111111111111
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,price_to_income,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,-0.17921488376207073,-0.1689605215188247,0.33852137322384035
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,price_to_income,pre_gfc_early_history,0,0,0,False,,,,,
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric_score,price_to_income,recovery_expansion,50,50,50,True,2015-11-30,2019-12-31,0.10527080581402627,0.11166901512418766,0.38435184200376177
